ExperimentID,Cohort,SubjectName,SubjectNumber,SessionNumber,SessionType,ExperimentType,Direction,Comment,DateTime,LogFileName
116,CSU,clover,22,,test,Training randomised Type 1,RIGHT,CB R 1  Pos = RIGHT,2023-11-13 20:49:33.970464,Experiment_2023-11-13T20:49:33.970464_clover_nan_Training randomised Type 1.log
117,CSU,clover,22,,test,Training randomised Type 1,RIGHT,CB  R 1 second file Pos = R,2023-11-13 20:54:16.427672,Experiment_2023-11-13T20:54:16.427672_clover_nan_Training randomised Type 1.log
118,CSU,pumba,21,,test,Training - fixed,LEFT,CB F 3 Pos = LEFT,2023-11-13 21:26:18.412625,Experiment_2023-11-13T21:26:18.412625_pumba_nan_Training - fixed.log
119,CSU,jelly,11,4.0,test,Training - fixed,LEFT,CB F 4 Pos =LEft,2023-11-13 23:02:01.120208,Experiment_2023-11-13T23:02:01.120208_jelly_4.0_Training - fixed.log
120,CSU,smudge,12,4.0,test,Training randomised Type 1,RIGHT,CB R 3 Pos = RIGHT,2023-11-13 23:31:59.936909,Experiment_2023-11-13T23:31:59.936909_smudge_4.0_Training randomised Type 1.log
121,CSU,george,13,5.0,test,Test Type 1,LEFT,CB T 1 Pos + LEFT,2023-11-14 00:25:42.956340,Experiment_2023-11-14T00:25:42.956340_george_5.0_Test Type 1.log
122,CSU,myrtle,14,4.0,test,Training randomised Type 2,RIGHT,CB R 2 Pos = RIGHT,2023-11-14 00:45:14.508317,Experiment_2023-11-14T00:45:14.508317_myrtle_4.0_Training randomised Type 2.log
123,CSU,myrtle,14,5.0,test,Training randomised Type 2,RIGHT,end of previous session,2023-11-14 01:18:45.941991,Experiment_2023-11-14T01:18:45.941991_myrtle_5.0_Training randomised Type 2.log
124,CSU,yoshi,15,4.0,test,Training randomised Type 1,LEFT,Cb R 1 Pos =LEFT,2023-11-14 01:55:54.666841,Experiment_2023-11-14T01:55:54.666841_yoshi_4.0_Training randomised Type 1.log
125,CSU,nix,16,4.0,test,Test Type 1,RIGHT,Cb T 1 Pos = RIGHT,2023-11-14 02:26:16.452913,Experiment_2023-11-14T02:26:16.452913_nix_4.0_Test Type 1.log
